Dataset,Nu,Semilla,Modelo,Funcion_Objetivo,Tiempo,Bar_iter,Accuracy_Train,Accuracy_Test,Num_exec
Moons_1000,10.0,77214914,DualSinKernel,1975.863412363896,0.017113,24,0.8842857142857142,0.8733333333333333,1
Moons_1000,10.0,77214914,DualRBF,276.48587096763134,0.068859,19,0.9885714285714285,0.9833333333333333,1
Moons_1000,100.0,77214914,Primal,-50826704.10170303,0.015283,20,0.16857142857142857,0.19,1
Moons_1000,100.0,77214914,DualSinKernel,19711.64926771646,0.016259,21,0.8842857142857142,0.8766666666666667,1
Moons_1000,100.0,77214914,DualRBF,1780.630332447035,0.06887,19,0.9871428571428571,0.9833333333333333,1
Moons_2000,0.01,77214914,Primal,-322.71782231391256,0.010623,10,0.22428571428571428,0.215,1
Moons_2000,0.01,77214914,DualSinKernel,5.9143475418736005,0.092306,20,0.855,0.865,1
Moons_2000,0.01,77214914,DualRBF,6.103714832364503,0.22575,16,0.915,0.8983333333333333,1
Moons_2000,0.1,77214914,Primal,-5770.085689518757,0.010787,11,0.21,0.195,1
Moons_2000,0.1,77214914,DualSinKernel,43.13868035196857,0.082979,30,0.875,0.875,1
Moons_2000,0.1,77214914,DualRBF,22.254312864539408,0.293297,30,0.9814285714285714,0.9783333333333334,1
Moons_2000,0.0,77214914,Primal,0.0,0.001919,-1,0.5,0.5,1
Moons_2000,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5,0.5,1
Moons_2000,0.0,77214914,DualRBF,0.0,-1.0,-1,0.5,0.5,1
Moons_2000,1.0,77214914,Primal,-136448.01640032348,0.011138,11,0.18357142857142858,0.18,1
Moons_2000,1.0,77214914,DualSinKernel,393.40667650790294,0.082959,28,0.8792857142857143,0.8783333333333333,1
Moons_2000,1.0,77214914,DualRBF,85.47684609960274,0.295078,30,0.99,0.9816666666666667,1
Moons_2000,10.0,77214914,Primal,-1782678.263140936,0.012903,14,0.165,0.17333333333333334,1
Moons_2000,10.0,77214914,DualSinKernel,3882.2394364777074,0.082326,26,0.88,0.8783333333333333,1
Moons_2000,10.0,77214914,DualRBF,435.80933039622556,0.244784,22,0.9835714285714285,0.9833333333333333,1
Moons_2000,100.0,77214914,Primal,-76469275.40684228,0.019804,22,0.16785714285714284,0.17666666666666667,1
Moons_2000,100.0,77214914,DualSinKernel,38768.84307955905,0.080958,26,0.88,0.8783333333333333,1
Moons_2000,100.0,77214914,DualRBF,2652.2227045314967,0.262521,23,0.985,0.9833333333333333,1
Points_100,0.01,77214914,Primal,-35.192091552444545,0.006722,32,0.5,0.5,2
Points_100,0.01,77214914,DualSinKernel,0.6849190498906522,0.002812,7,0.9142857142857143,0.8333333333333334,2
Points_100,0.01,77214914,DualRBF,0.6818568404646945,0.004706,7,0.9285714285714286,0.8333333333333334,2
